template_id,edit_type_id,edit_type,categories,instruction
1131w-zsrhBwj_J58,6,Copy Expansion,"text,layout,global","Expand the bottom-center body paragraph above the URL to 2–3× length, keeping tone; mention curated vintage apparel, rare home decor, sustainable finds, live music, and family-friendly activities; preserve alignment."
1131w-zsrhBwj_J58,7,Image Replacement,"image,layout,local","Replace the central green draped statue with a vintage mannequin in neutral tones, arms outstretched, showcasing a retro patterned coat, maintaining the same placement and scale."
1131w-zsrhBwj_J58,8,Typography Style Shift,"text,style,global","Switch the “RETRO REWIND” headline to a high-contrast tall serif, title case with increased letterspacing."
1131w-zsrhBwj_J58,9,Accent Recolor,"color,local",Recolor the “RETRO REWIND” headline to deep forest green #184D3A to heighten emphasis while harmonizing with the green statue and gray background.
1131w-zsrhBwj_J58,10,Background Replacement,"image,color,global",Replace the gray paper background with a faded retro wallpaper pattern—pale beige with subtle geometric motifs in #EADFCF—so the green headline and garment remain highly legible.
1131w-zsrhBwj_J58,11,Hierarchy Adjustment,"layout,text,global","Enlarge the green garment image to full-bleed dominance; shrink “RETRO REWIND” to small uppercase and move it above, making the photograph the primary focal point."
1131w-zsrhBwj_J58,12,Contrast & Readability Enhancement,"color,style,local",Change the bottom paragraph and website URL text to white (#FFFFFF) for higher contrast against the green fabric texture.
1131w-zsrhBwj_J58,13,Add Secondary Text Block,"text,layout,local","Add a small italic subtitle 'Curated vintage finds, pre-loved gems, and timeless bargains' centered between 'RETRO REWIND' and 'BIGGEST THRIFT BAZAAR IN TOWN' in deep forest green."
1131w-zsrhBwj_J58,14,Theme Restyling,"style,color,global","Convert to winter holiday theme: change green elements to deep cranberry #B80F2E, replace draped fabric with cranberry knitted sweater texture, and add subtle gold #C5A216 snowflakes in the background."
1135w-537M02wjfK8,0,Color Palette Variation,"color,global","Replace white background, dark green text, gold arch, and green florals with midnight navy (#0E223A), ivory text/arch (#F8F5EF), muted sage leaves (#A8BFA3), and pale blush flowers (#F6DDE0)."
1135w-537M02wjfK8,1,Translation,"text,global","Translate to Spanish: OLIVIA Y DANIEL; Junto con sus familias invitan a su boda; 20.10.2029 | 2 p. m.; Calle Anywhere 123, Any City, ST 12345; ¡Recepción a continuación!"
1135w-537M02wjfK8,2,2-Element Layout Swap,"layout,global","Swap the 'OLIVIA & DANIEL' headline with the '20.10.2029 | 2 PM' line, putting date/time at the top center and names centered in the date/time's current spot."
1135w-537M02wjfK8,3,Global Layout Change,"layout,global",Reflow into a two-column layout: place the gold arch and all text centered in the left column; shift all floral elements to form a right-side vertical border.
1135w-537M02wjfK8,4,Object Removal,"layout,local","Remove the ""TOGETHER WITH THEIR FAMILIES INVITE YOU TO JOIN THEIR WEDDING"" paragraph; move date/time and address up to maintain balanced spacing while keeping content center-aligned within the arch."
1135w-537M02wjfK8,5,Object Addition,"layout,local",Add a small gold (#D4AF37) intertwined rings icon centered above “OLIVIA & DANIEL” within the arch.
1135w-537M02wjfK8,6,Copy Expansion,"text,layout,global","Expand the subheading text to: ""Together with their families, Olivia and Daniel warmly invite you to celebrate their union and share in the joy of this special day."""
1135w-537M02wjfK8,7,Image Replacement,"image,layout,local","Swap the watercolor white-rose and eucalyptus corner florals for moody autumn foliage—rust leaves, burgundy dahlias, and dried grasses—maintaining the arched gold frame composition."
1135w-537M02wjfK8,8,Typography Style Shift,"text,style,global",Set “OLIVIA & DANIEL” in elegant flowing cursive to shift the tone from formal to romantic.
1135w-537M02wjfK8,9,Accent Recolor,"color,local",Recolor the “OLIVIA & DANIEL” headline to muted gold #C9A24A to echo the frame and heighten emphasis.
1135w-537M02wjfK8,10,Background Replacement,"image,color,global","Replace the off-white background with a pale sage watercolor wash (#EAF2EB), maintaining strong contrast so the dark green text and gold arch remain crisp and legible."
1135w-537M02wjfK8,11,Hierarchy Adjustment,"layout,text,global","Make the date/time the focal point: enlarge it to huge uppercase bold, center it within the arch, and reduce the names to small weight above."
1135w-537M02wjfK8,12,Contrast & Readability Enhancement,"color,style,local",Add a soft white rectangle overlay (15% opacity) within the gold arch to mute background foliage and enhance readability of all green text.
1135w-537M02wjfK8,13,Add Secondary Text Block,"text,layout,local",Add a small italic subtitle “A celebration of love” centered just below “DANIEL” in #184D3A.
1135w-537M02wjfK8,14,Theme Restyling,"style,color,global","Restyle to winter holiday theme: replace white roses with poinsettias, holly, and pine; change gold border to icy silver; shift text to deep crimson sans-serif while preserving layout."
1135w-e1BT38mksX0,0,Color Palette Variation,"color,global",Recolor to dark mode: background midnight blue (#0B1221); black text/icons to white (#F7F9FC); replace orange accents with neon lime (#B7F500) and purple details with electric cyan (#00E0FF).
1135w-e1BT38mksX0,1,Translation,"text,global",Replace the “HALLOWEEN Party” headline with Spanish “Fiesta de Halloween”.
1135w-e1BT38mksX0,2,2-Element Layout Swap,"layout,global","Swap the ghost illustration and the “HALLOWEEN Party” title; move the ghost to the top center beneath the garland, and place the title centered above the date block."
1135w-e1BT38mksX0,3,Global Layout Change,"layout,global",Switch to a two-column grid: top full-width title header; left column hero illustration; right column event details; move garland and website into a full-width footer.
1135w-e1BT38mksX0,4,Object Removal,"layout,local",Remove the black potion bottle at bottom right; shift the date/location text block rightward and slightly down to balance the ghost and maintain alignment with the website URL.
1135w-e1BT38mksX0,5,Object Addition,"layout,local","Add a small light-gray spider web with a dangling black spider in the upper-right blank space between ""Party"" and the date to balance the layout."
1135w-e1BT38mksX0,6,Copy Expansion,"text,layout,global","Expand the address line into a longer paragraph: “123 Anywhere St., Any City, ST 12345—Community Hall, lower level entrance by the pumpkin display; parking in rear lot, follow signs.”"
1135w-e1BT38mksX0,7,Image Replacement,"image,layout,local","Replace the central beanie-wearing ghost and surrounding Halloween icons with a winter theme: a snowman sipping cocoa, snowflake garland, and small snowflakes, preserving the composition."
1135w-e1BT38mksX0,8,Typography Style Shift,"text,style,global",Replace the “HALLOWEEN” title with an uppercase high-contrast tall serif to create an elegant tone.
1135w-e1BT38mksX0,9,Accent Recolor,"color,local","Recolor the ""HALLOWEEN"" headline text to deep purple #6A3CBC."
1135w-e1BT38mksX0,10,Background Replacement,"image,color,global","Replace white background with a deep midnight purple (#1B1033) night sky featuring subtle stars and light fog, keeping high contrast around text and illustrations for legibility."
1135w-e1BT38mksX0,11,Hierarchy Adjustment,"layout,text,global","Enlarge the ghost illustration to dominate the center and shift it slightly upward; shrink the ""HALLOWEEN Party"" headline to medium size so the ghost becomes the primary focal point."
1135w-e1BT38mksX0,12,Contrast & Readability Enhancement,"color,style,local",Recolor the small gray address line under the date to deep black #111111 for stronger contrast on white.
1135w-e1BT38mksX0,13,Add Secondary Text Block,"text,layout,local",Add a small uppercase sans-serif subtitle 'Costumes encouraged • Treats & beats' centered between 'HALLOWEEN' and 'Party' in pumpkin orange #F26A00 to tighten spacing and balance the layout.
1135w-e1BT38mksX0,14,Theme Restyling,"style,color,global","Retheme to cozy Christmas: replace pumpkins/bats/skulls with holly, snowflakes, and ornaments; change palette to deep forest green, cranberry red, and gold; update “Halloween Party” to “Holiday Party.”"
1143w-6-Ht1iOh8uw,0,Color Palette Variation,"color,global",Switch the palette: change background to deep navy #0B1A34; recolor all red elements to gold #D4AF37 and black elements to white; set all text to white for contrast.
1143w-6-Ht1iOh8uw,1,Translation,"text,global","Translate all visible text to Spanish, changing ""Birthday Party"" to ""Fiesta de Cumpleaños""."
1143w-6-Ht1iOh8uw,2,2-Element Layout Swap,"layout,global","Swap the 'Birthday Party' headline with the 'MONDAY / OCTOBER 23 AT 10 PM' block, centering the date and moving the headline above the gifts for balance."
1143w-6-Ht1iOh8uw,3,Global Layout Change,"layout,global","Switch to a landscape split layout: left half balloons and gifts collage; right half stacked text—bunting top, huge “Birthday Party,” then Monday/date/time block, address bottom; increase outer margins."
1143w-6-Ht1iOh8uw,4,Object Removal,"layout,local",Remove the bottom-right gift boxes; shift the right-side balloons left to fill the gap and maintain balance and readability.
1143w-6-Ht1iOh8uw,5,Object Addition,"layout,local","Add a small deep red location pin icon before the address line, centered with the text to maintain balance."
1143w-6-Ht1iOh8uw,6,Copy Expansion,"text,layout,global","Expand the address line beneath the date into: ""123 Anywhere St., Any City, ST 12345 — main hall entrance on Maple; enjoy cake, games, and music with friends."""
1143w-6-Ht1iOh8uw,7,Image Replacement,"image,layout,local","Replace the red-and-black birthday balloons, bunting, and gift boxes with gold-and-navy graduation caps, confetti, and diplomas, maintaining the same arrangement and composition."
1143w-6-Ht1iOh8uw,8,Typography Style Shift,"text,style,global",Replace the “Birthday Party” headline’s script with a tall serif italic to elevate the tone.
1143w-6-Ht1iOh8uw,9,Accent Recolor,"color,local","Change the ""MONDAY"" text color to deep red #C81D25."
1143w-6-Ht1iOh8uw,10,Background Replacement,"image,color,global","Replace the white background with a soft blush-to-cream gradient featuring faint confetti speckles, preserving high contrast so black typography and red/black balloons remain clearly legible."
1143w-6-Ht1iOh8uw,11,Hierarchy Adjustment,"layout,text,global","Enlarge the bottom-right gift boxes to huge so they extend into the center, making them the dominant focal point over the “Birthday Party” headline."
1143w-6-Ht1iOh8uw,12,Contrast & Readability Enhancement,"color,style,local",Apply a thin white outline to the “Birthday Party” script to improve legibility against the nearby red and black balloons.
1143w-6-Ht1iOh8uw,13,Add Secondary Text Block,"text,layout,local","Add a small italic sans-serif subtitle 'Join us for cake, games, and fun!' centered between 'Birthday Party' and 'MONDAY' in charcoal #333333."
1143w-6-Ht1iOh8uw,14,Theme Restyling,"style,color,global","Replace the red/black palette with icy blue (#4AAFE8), silver (#C0C8D0), and white for a winter celebration theme, keeping the layout and typography unchanged."
1143w-ugSBoa9VtEw,0,Color Palette Variation,"color,global","Recolor the entire palette: replace lavender background with soft mint #E7F6F2; set all purple text, accents, and button to deep teal #0F4C5C with white text; match tube bands accordingly."
1143w-ugSBoa9VtEw,1,Translation,"text,global",Replace the main headline “Natural Skincare” with “Cuidado de la piel natural”.
1143w-ugSBoa9VtEw,2,2-Element Layout Swap,"layout,global",Swap the central product tube and the “Natural Skincare” headline: move the tube to top-center and align the headline centered above the pedestal for balance.
1143w-ugSBoa9VtEw,3,Global Layout Change,"layout,global","Rebuild into a two-column split: left column full-height product on pedestal; right column stacked title, subhead, contacts; place 25% badge top-right; center SHOP NOW button bottom."
1143w-ugSBoa9VtEw,4,Object Removal,"layout,local","Remove the curved arrow and the “Larana, inc.” text; shift the 25% OFF badge slightly right to align with the tube’s left edge for balanced spacing."
1143w-ugSBoa9VtEw,5,Object Addition,"layout,local",Add a small deep forest green leaf sprig illustration in the upper-right corner near the “Natural Skincare” headline to balance the composition.
1143w-ugSBoa9VtEw,6,Copy Expansion,"text,layout,global","Expand the subheading beneath “Natural Skincare” into a 2–3× longer paragraph emphasizing gentle ingredients, hydration, and tone balance, maintaining centered alignment and harmonious spacing around the tube."
1143w-ugSBoa9VtEw,7,Image Replacement,"image,layout,local","Swap the central skincare tube and lavender silk backdrop for a minimalist ceramic essential-oil diffuser on a pedestal with warm beige linen drape, evoking cozy, spa-like calm."
1143w-ugSBoa9VtEw,8,Typography Style Shift,"text,style,global","Change the ""Natural Skincare"" headline to elegant italic tall serif to create a refined tone."
1143w-ugSBoa9VtEw,9,Accent Recolor,"color,local",Recolor the “SHOP NOW” button background to deep forest green #184D3A.
1143w-ugSBoa9VtEw,10,Background Replacement,"image,color,global","Replace the purple satin background with a clean pale sage-to-white gradient (#E5F5EA to #FFFFFF) to create a fresh, natural mood while maintaining strong contrast for the product and text."
1143w-ugSBoa9VtEw,11,Hierarchy Adjustment,"layout,text,global",Scale up the product tube by 70% to become the primary focal point.
1143w-ugSBoa9VtEw,12,Contrast & Readability Enhancement,"color,style,local","Add a 35% deep plum (#4B1F5E) gradient overlay across the top half to boost contrast for “Larana, inc.” and the white tagline."
1143w-ugSBoa9VtEw,13,Add Secondary Text Block,"text,layout,local","Add a small italic subtitle “Gentle, plant-powered care for every skin type” centered above “Natural Skincare” in deep plum #4A235A to fill the top space."
1143w-ugSBoa9VtEw,14,Theme Restyling,"style,color,global","Restyle for a winter holiday theme: change background to deep forest green satin (#184D3A), shift all accents/text to gold (#D4AF37), and swap the discount circle for a snowflake badge."
1200w-taPfkpk_5cE,0,Color Palette Variation,"color,global","Replace the pink background and purple typography with a cool palette: background #EAF7FF, all text navy #0B2D5B; recolor book/character accents to teal #1BB3A9, coral #FF6F61, butter #F7D060."
1200w-taPfkpk_5cE,1,Translation,"text,global","Translate headline to Spanish: “BIENVENIDOS A NUESTRO CLUB DE LECTURA”, and translate the body paragraph into Spanish while preserving layout."
1200w-taPfkpk_5cE,2,2-Element Layout Swap,"layout,global","Swap the large “BOOK CLUB” headline block with the descriptive paragraph below, moving the paragraph above and keeping both elements centered to preserve balance."
1200w-taPfkpk_5cE,3,Global Layout Change,"layout,global","Reflow the poster into a three-column grid: left readers, center stacked “WELCOME TO OUR”, “BOOK CLUB”, and paragraph, right all books/stacks, keeping equal gutters and generous margins."
1200w-taPfkpk_5cE,4,Object Removal,"layout,local",Remove the two bottom-center loose books; shift the body paragraph downward slightly to occupy the space and maintain overall balance.
1200w-taPfkpk_5cE,5,Object Addition,"layout,local",Add a small steaming coffee mug illustration in cream with #E86A92 accents at the bottom-center gap between the loose books to balance the layout.
1200w-taPfkpk_5cE,6,Copy Expansion,"text,layout,global","Expand the lower body paragraph to roughly 2–3× length, adding welcoming details about monthly picks, lively discussions, newcomer-friendly vibe, and keeping the address, while maintaining tone and layout balance."
1200w-taPfkpk_5cE,7,Image Replacement,"image,layout,local","Replace the illustrated readers and floating books with similarly arranged hikers and scattered trail maps, compasses, and mountains for an outdoor adventure theme."
1200w-taPfkpk_5cE,8,Typography Style Shift,"text,style,global","Change the “BOOK CLUB” headline to tall serif uppercase to create a more elegant, refined tone."
1200w-taPfkpk_5cE,9,Accent Recolor,"color,local",Recolor the “BOOK CLUB” title text to deep forest green #184D3A.
1200w-taPfkpk_5cE,10,Background Replacement,"image,color,global","Replace the solid pink background with a warm cream parchment texture (#FFF3E0) to create a cozy library mood, keeping all text and illustrations clearly legible."
1200w-taPfkpk_5cE,11,Hierarchy Adjustment,"layout,text,global","Make the bottom-right reader illustration huge and centered, pushing the “BOOK CLUB” headline below it."
1200w-taPfkpk_5cE,12,Contrast & Readability Enhancement,"color,style,local",Change the body paragraph text color to deep plum #5A2A6E to improve contrast against the pink background.
1200w-taPfkpk_5cE,13,Add Secondary Text Block,"text,layout,local","Add a centered small italic subtitle below ""BOOK CLUB"" reading ""Where stories spark conversation"" in deep forest green (#184D3A) to tighten spacing above the paragraph."
1200w-taPfkpk_5cE,14,Theme Restyling,"style,color,global","Change palette to festive winter holiday: background deep forest green, BOOK CLUB in crimson #C62828, remaining text warm ivory, and book/line accents gold #C8A951."
1236w-JT1Z7rx2PuU,0,Color Palette Variation,"color,global","Switch to light mode: set background #FAFAF7, change all text to near-black #111827, and recolor the orange plant to vivid cobalt #2563EB for strong contrast."
1236w-JT1Z7rx2PuU,1,Translation,"text,global",Translate “GRAND OPENING” to Spanish: “Gran Apertura” in the same bold white brush lettering.
1236w-JT1Z7rx2PuU,2,2-Element Layout Swap,"layout,global","Reposition the orange floral stem to the left third and shift the “GRAND OPENING” headline to the right third, both vertically centered to maintain balance."
1236w-JT1Z7rx2PuU,3,Global Layout Change,"layout,global","Reflow into a two-column layout: left column full-height orange stem; right column stacked—title at top, date/time and address centered, website and header items bottom; keep current colors and typography."
1236w-JT1Z7rx2PuU,4,Object Removal,"layout,local",Remove the top-left “AUTUMN ’23” and top-right “@REALLYGREATSITE”; raise “AROWWAI PRESENTS” to the top center with slightly increased spacing to maintain balance.
1236w-JT1Z7rx2PuU,5,Object Addition,"layout,local","Add a small #FF5A2B map pin icon to the left of the address line, vertically centered with the text, echoing the orange botanical accent."
1236w-JT1Z7rx2PuU,6,Copy Expansion,"text,layout,global","Expand the bottom website line into a sans-serif paragraph: 'VISIT OUR WEBSITE FOR REGISTRATION, SCHEDULE HIGHLIGHTS, AND FAQS. SEE DIRECTIONS, PARKING, ACCESSIBILITY, AND SIGN UP FOR UPDATES AT WWW.REALLYGREATSITE.COM.'"
1236w-JT1Z7rx2PuU,7,Image Replacement,"image,layout,local","Replace the central orange botanical stem illustration with a vertical, icy-blue lightning bolt silhouette to shift the mood from organic warmth to electric intensity."
1236w-JT1Z7rx2PuU,8,Typography Style Shift,"text,style,global",Replace the “GRAND OPENING” brush lettering with an uppercase tall serif in ivory to shift the tone from playful to elegant.
1236w-JT1Z7rx2PuU,9,Accent Recolor,"color,local",Recolor the central date/time text ('OCTOBER 24' and '5PM') to vivid orange #FF6A3D.
1236w-JT1Z7rx2PuU,10,Background Replacement,"image,color,global",Replace the black background with a dark midnight-blue gradient featuring subtle grain to retain clear readability of the white text and the orange floral stem.
1236w-JT1Z7rx2PuU,11,Hierarchy Adjustment,"layout,text,global",Make the orange floral illustration the dominant focal point by scaling it to full height centered and reducing the GRAND OPENING headline to medium size below.
1236w-JT1Z7rx2PuU,12,Contrast & Readability Enhancement,"color,style,local",Add a 25% black (#000) semi-transparent rectangular overlay behind OCTOBER 24/5PM/address lines to boost contrast against the orange stem.
1236w-JT1Z7rx2PuU,13,Add Secondary Text Block,"text,layout,local","Add a small uppercase sans-serif subtitle ""Join us for live music and giveaways"" centered beneath ""GRAND OPENING"" in light gray #CFCFCF to fill the mid-area and balance spacing."
1236w-JT1Z7rx2PuU,14,Theme Restyling,"style,color,global","Convert design to winter holiday theme by changing background to navy, replacing orange plant with white snow-dusted pine branch, and switching accent text to icy teal while keeping structure."
1257w-EN_LTZdAMlw,0,Color Palette Variation,"color,global","Replace the white, brown, orange, sage palette with a twilight scheme: deep navy background, warm ivory text, and illustrations recolored in dusty plum, muted teal, and antique gold."
1257w-EN_LTZdAMlw,1,Translation,"text,global","Translate all text to Spanish, setting the main headline to uppercase bold ""FESTIVAL DEL HUERTO DE CALABAZAS""."
1257w-EN_LTZdAMlw,2,2-Element Layout Swap,"layout,global","Swap the central “PUMPKIN PATCH FESTIVAL” headline with the “12 OCT | FREE ENTRY | 2:00 PM” row, keeping both centered."
1257w-EN_LTZdAMlw,3,Global Layout Change,"layout,global","Rebuild into a two-column layout: left column full-bleed watercolor border; right column vertically stack headline, subheading, details, and address; move date/time/free into a top horizontal bar spanning both columns."
1257w-EN_LTZdAMlw,4,Object Removal,"layout,local",Remove the “JOIN US FOR OUR ANNUAL” line; move “PUMPKIN PATCH FESTIVAL” up slightly and nudge the date row upward to maintain balanced spacing.
1257w-EN_LTZdAMlw,5,Object Addition,"layout,local",Add a small watercolor maple leaf cluster in #A66E2D centered above “JOIN US FOR OUR ANNUAL” to subtly fill the top whitespace and balance the floral corners.
1257w-EN_LTZdAMlw,6,Copy Expansion,"text,layout,global","Replace tagline with: ""PICK YOUR PERFECT PUMPKIN, WANDER THE PATCH, SIP WARM CIDER, ENJOY HAYRIDES AND GAMES, MEET FRIENDS, MAKE MEMORIES, AND CELEBRATE THE CRISP MAGIC OF AUTUMN TOGETHER."""
1257w-EN_LTZdAMlw,7,Image Replacement,"image,layout,local","Replace the watercolor pumpkins and sunflowers border with a winter-themed border of pine branches, holly berries, and snow-dusted pinecones in cool blues and deep forest green."
1257w-EN_LTZdAMlw,8,Typography Style Shift,"text,style,global","Replace the “PUMPKIN PATCH FESTIVAL” headline with a tall serif, uppercase, high-contrast style, removing the distressed texture to create an elegant tone."
1257w-EN_LTZdAMlw,9,Accent Recolor,"color,local",Recolor the “PUMPKIN PATCH FESTIVAL” headline from brown to deep forest green #184D3A to heighten emphasis while matching the green pumpkins.
1257w-EN_LTZdAMlw,10,Background Replacement,"image,color,global",Replace the white background with a light parchment paper texture (#F6F1E3) to add rustic warmth while keeping the brown typography legible.
1257w-EN_LTZdAMlw,11,Hierarchy Adjustment,"layout,text,global","Enlarge the bottom watercolor pumpkin-and-sunflower illustration to huge size, making it the primary focal point instead of the headline."
1257w-EN_LTZdAMlw,12,Contrast & Readability Enhancement,"color,style,local","Darken all small brown text (subtitle, date/time row, description, address) to deep chocolate #4A2E15 for higher contrast on white."
1257w-EN_LTZdAMlw,13,Add Secondary Text Block,"text,layout,local","Add a small italic sans-serif subtitle centered beneath ""PUMPKIN PATCH FESTIVAL"" reading ""Harvest memories with friends and family,"" in warm brown #8C6239."
1257w-EN_LTZdAMlw,14,Theme Restyling,"style,color,global","Restyle for winter holidays: replace pumpkins/sunflowers with pine boughs, holly, and snowflakes; shift palette to icy blues #A7DFF2/#1E3A8A and white; change title to 'Winter Wonderland Festival' while preserving layout."
1257w-dnPJ18q1Q2E,0,Color Palette Variation,"color,global",Recolor to light mode: background pale blush #F7E5EA; all text deep charcoal #1D1D1D; neutralize red in the figure to warm neutrals.
1257w-dnPJ18q1Q2E,1,Translation,"text,global","Replace all English text with Spanish: headline 'LA HISTORIA DE NUESTRO AMOR' in uppercase bold; top line 'Del director de “Amor en Flor”, Daniel Gallego'."
1257w-dnPJ18q1Q2E,2,2-Element Layout Swap,"layout,global","Swap the headline and the main image positions, placing the woman’s portrait centered top and the title centered in the lower half, preserving equal side margins for balance."
1257w-dnPJ18q1Q2E,3,Global Layout Change,"layout,global","Reflow into a vertical split layout: left half full-bleed image; right half solid #C52B24 with tagline top, stacked title below, cast names mid, credits bottom, all right-aligned."
1257w-dnPJ18q1Q2E,4,Object Removal,"layout,local",Remove the top director credit line; raise the title slightly to rebalance vertical space while keeping it centered and preserving comfortable clearance above the subject’s head.
1257w-dnPJ18q1Q2E,5,Object Addition,"layout,local","Add a small off-white '#F8E0D3' heart outline centered above the subject's head, below the title, to balance the negative space."
1257w-dnPJ18q1Q2E,6,Copy Expansion,"text,layout,global",Expand the top tagline “FROM DIRECTOR OF LOVE IN BLOOM DANIEL GALLEGO” into a 2–3× longer uppercase paragraph that wraps across the top while maintaining alignment and spacing.
1257w-dnPJ18q1Q2E,7,Image Replacement,"image,layout,local","Replace the central rear-view woman with a rear-view astronaut against a dark starry background, maintaining the same centered head-and-shoulders composition and scale."
1257w-dnPJ18q1Q2E,8,Typography Style Shift,"text,style,global",Switch “THE STORY OF OUR LOVE” to a tall serif font to shift the tone from bold to elegant.
1257w-dnPJ18q1Q2E,9,Accent Recolor,"color,local","Recolor the ""OUR LOVE"" headline to warm gold #F2C14E to increase emphasis while maintaining harmony with the red background."
1257w-dnPJ18q1Q2E,10,Background Replacement,"image,color,global","Replace the red speckled background with a deep navy twilight sky (#0B1A36) with faint stars, preserving strong contrast behind the beige title and keeping the backlit figure unobstructed."
1257w-dnPJ18q1Q2E,11,Hierarchy Adjustment,"layout,text,global",Relegate the headline to small size in the lower third to make the figure photo dominant.
1257w-dnPJ18q1Q2E,12,Contrast & Readability Enhancement,"color,style,local",Add a semi-transparent deep maroon (#5A0F0F) horizontal band behind the bottom cast names and tiny credits to boost contrast against the red background and jacket.
1257w-dnPJ18q1Q2E,13,Add Secondary Text Block,"text,layout,local","Add a small italic sans-serif subtitle 'Two hearts, one lifetime.' centered beneath 'OUR LOVE' in soft cream #F6E3D3 with slight letter-spacing, balancing the space above the figure."
1257w-dnPJ18q1Q2E,14,Theme Restyling,"style,color,global","Convert to a winter holiday theme by replacing the red background with #184D3A and a subtle snowflake pattern, keeping the photo, title placement, and credits unchanged."
1257w-w-iZnixy-TU,0,Color Palette Variation,"color,global",Recolor to a warm terracotta palette: change sky-blue background to #FFE8D6→#E29578 gradient and set all cream/white typography and bars to deep forest green #184D3A to preserve readability.
1257w-w-iZnixy-TU,1,Translation,"text,global","Replace the main headline ""CLUB CLASSICS"" with Spanish ""CLÁSICOS DEL CLUB"", keeping the same layout and uppercase bold styling."
1257w-w-iZnixy-TU,2,2-Element Layout Swap,"layout,global","Swap positions of the 'CLUB CLASSICS' headline and the floating shirt image, placing the headline above the footer bar and the shirt centered near the top with balanced margins."
1257w-w-iZnixy-TU,3,Global Layout Change,"layout,global","Reflow into a two-column layout: make the shirt full-bleed on the left; stack “CLUB CLASSICS”, star, and paragraph on the right; relocate the info bar into a top header."
1257w-w-iZnixy-TU,4,Object Removal,"layout,local","Remove the white star icon under the shirt; scale up and vertically center “CLUB CLASSICS” slightly to fill the gap, keeping the shirt and bottom information bar unchanged."
1257w-w-iZnixy-TU,5,Object Addition,"layout,local","Add a small deep forest green recycling icon to the left of the sustainability paragraph, aligning with the text baseline to reinforce the eco-message and visually balance the right-aligned date."
1257w-w-iZnixy-TU,6,Copy Expansion,"text,layout,global","Expand the bottom uppercase paragraph to 2–3× its length with more eco-friendly brand details and recycling incentives, keeping uppercase body style, centered alignment, and current margins for balanced wrapping."
1257w-w-iZnixy-TU,7,Image Replacement,"image,layout,local","Replace the floating striped T-shirt with a similarly centered floating vintage vinyl record, keeping the blue sky backdrop and composition to shift the mood from apparel to nostalgic music."
1257w-w-iZnixy-TU,8,Typography Style Shift,"text,style,global","Replace the ""CLUB CLASSICS"" headline with a high-contrast tall serif."
1257w-w-iZnixy-TU,9,Accent Recolor,"color,local",Recolor the “CLUB CLASSICS” headline to deep forest green #184D3A.
1257w-w-iZnixy-TU,10,Background Replacement,"image,color,global","Replace the blue sky background with a deep midnight gradient (#0A0F1E to #1B2140) for a club vibe, ensuring the floating shirt and cream headline remain clearly legible."
1257w-w-iZnixy-TU,11,Hierarchy Adjustment,"layout,text,global",Enlarge the striped shirt image substantially to overlap the headline and dominate the layout.
1257w-w-iZnixy-TU,12,Contrast & Readability Enhancement,"color,style,local",Apply a #000000-to-transparent gradient overlay over the lower 40% (60% opacity at bottom) to boost legibility of the white body copy and light-blue info bar.
1257w-w-iZnixy-TU,13,Add Secondary Text Block,"text,layout,local",Add a small uppercase sans-serif subtitle “Sustainably made vintage edits” centered below “CLUB CLASSICS” in soft cream #F5EBDD with wider tracking to fill the space above the floating shirt.
1257w-w-iZnixy-TU,14,Theme Restyling,"style,color,global","Convert to winter holiday theme: swap sky for a snowy backdrop and recolor headline and accents to deep forest green and cranberry red, keeping the layout and text unchanged."
1280w-1EsFpGQoTQo,0,Color Palette Variation,"color,global",Recolor the aqua/teal water and tan concrete palette to a soft sunset scheme—peach #FFCBA4 and coral #FF6F61—while switching all text and strokes to deep charcoal #1E1E1E.
1280w-1EsFpGQoTQo,1,Translation,"text,global","Translate all on-image text to Spanish: ""CÓMO CONSTRUIR EL NEGOCIO DE TUS SUEÑOS""; nav—""NEGOCIO"", ""CONSEJOS"", ""PARA COACHES""; CTA—""SITIOGENIAL""."
1280w-1EsFpGQoTQo,2,2-Element Layout Swap,"layout,global","Swap the central headline block with the bottom call-to-action button, placing the CTA centered mid-page and the headline anchored just above the bottom, maintaining balanced spacing."
1280w-1EsFpGQoTQo,3,Global Layout Change,"layout,global","Restructure into a split layout: full-bleed image left; right column with vertically centered stacked headline, subhead, and CTA; transform top navigation into a left vertical sidebar; add wide padding."
1280w-1EsFpGQoTQo,4,Object Removal,"layout,local",Remove the top-left “BUSINESS” and top-right “FOR COACHES” pills; keep “TIPS” centered and nudge the headline up slightly to maintain balance and readability.
1280w-1EsFpGQoTQo,5,Object Addition,"layout,local","Add a small white palm-leaf icon in the top-left corner, matching line weight of the bottom-right star, to balance the composition without distracting from the headline."
1280w-1EsFpGQoTQo,6,Copy Expansion,"text,layout,global","Replace the main headline with: Build the business of your dreams with clear strategies, streamlined systems, and confident action that fuels sustainable growth and lifestyle freedom."
1280w-1EsFpGQoTQo,7,Image Replacement,"image,layout,local","Replace the poolside sunbather image with a mountain overlook picnic scene, person lying on a blanket holding a coffee, hat nearby, similar top-down composition and negative space for text."
1280w-1EsFpGQoTQo,8,Typography Style Shift,"text,style,global","Switch the “BUSINESS” headline to uppercase bold sans-serif for a modern, assertive tone."
1280w-1EsFpGQoTQo,9,Accent Recolor,"color,local",Change the bottom CTA button’s outline and text color to coral #FF6F61.
